id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,positioning_method,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
52360,2012-02-17,2012-02-17,,Tijuana,4304,mossy,2012-02-18 02:14:03 UTC,"Mason County, US-WA, US",47.3854921485,-123.0475294741,1392,26871,obscured,,Yellowfoot,Craterellus tubaeformis,Yellowfoot,Fungi,350511
121621,2012-09-10,2012-09-10,,Tijuana,4304,mossy,2012-09-11 18:06:44 UTC,Duckabush River,47.6683652,-123.1482,16310,16310,,,lobster mushroom,Hypomyces lactifluorum,lobster mushroom,Fungi,48215
126894,2012-09-24,2012-09-24,,Tijuana,4304,mossy,2012-09-25 15:33:34 UTC,Olympic National Forest,47.4643799,-123.4782902,89718,89718,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
126895,2012-09-24,2012-09-24,,Tijuana,4304,mossy,2012-09-25 15:36:19 UTC,Olympic National Forest,47.4643799,-123.4782902,89718,89718,,,Pacific Golden Chanterelle,Cantharellus formosus,Pacific Golden Chanterelle,Fungi,120443
133731,Wed Oct 10 2012 10:27:49 GMT-0700 (PDT),2012-10-10,2012-10-10 17:27:49 UTC,Pacific Time (US & Canada),4115,lalitacalabria,2012-10-10 20:06:08 UTC,,46.098707,-121.72227,5,5,,,Polyozellus multiplex,Polyozellus multiplex,blue chanterelle,Fungi,154877
133766,Wed Oct 10 2012 10:37:23 GMT-0700 (PDT),2012-10-10,2012-10-10 17:37:23 UTC,Pacific Time (US & Canada),4318,clareswensen,2012-10-10 20:48:55 UTC,"NFD 8851 Rd, Stevenson, Washington, US",46.098676,-121.722174,5,5,,,Blue Chanterelles,Polyozellus,Blue Chanterelles,Fungi,154878
135452,2012-10-10,2012-10-10,,Pacific Time (US & Canada),4310,imatsuoka,2012-10-14 23:55:31 UTC,"Mosquito Lake, Gifford Pinchot National Forest, WA",46.5870642,-121.5341585,188,188,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
139240,Wed Oct 10 2012 10:05:06 GMT-0700 (PDT),2012-10-10,2012-10-10 17:05:06 UTC,Pacific Time (US & Canada),9818,savanad,2012-10-25 19:35:14 UTC,"Gifford Pinchot National Forest, Stevenson, Washington, US",46.0981666667,-121.72,,27063,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
139923,Wed Oct 10 2012 11:32:04 GMT-0700 (PDT),2012-10-10,2012-10-10 18:32:04 UTC,Pacific Time (US & Canada),9682,andy-bryophyta-durrant,2012-10-27 06:09:12 UTC,"Mosquito Lake, Gifford Pinchot National Forest, Stevenson, Washington, US",46.125043,-121.755141,,27063,,,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
140144,2012-10-26,2012-10-26,,Pacific Time (US & Canada),9850,kate,2012-10-28 00:04:03 UTC,Olympic National Park Staircase,47.51843249,-123.3323478699,,,,,White Chanterelle,Cantharellus subalbidus,White Chanterelle,Fungi,54132
141419,2012-10-30,2012-10-30,,Pacific Time (US & Canada),9856,littlelily,2012-10-30 23:39:52 UTC,The Evergreen State College Farm Trail,47.0700633643,-122.983787444,,,,,White Chanterelle,Cantharellus subalbidus,White Chanterelle,Fungi,54132
141824,2012-10-10,2012-10-10,,Pacific Time (US & Canada),9722,dreamspirit,2012-11-01 00:30:31 UTC," Mosquito Lake, Gifford Pichot Forest",46.5870642,-121.5341585,188,188,,,Polyzellus multiplex,Polyozellus multiplex,blue chanterelle,Fungi,154877
143199,"October 17, 2012 3:10:42 PM PDT",2012-10-17,2012-10-17 22:10:42 UTC,Pacific Time (US & Canada),9840,abigailarnold,2012-11-03 16:53:45 UTC,The Evergreen State College,47.0663149,-122.96917,3024,3024,,gps,White Chanterelle,Cantharellus subalbidus,White Chanterelle,Fungi,54132
143356,2012-11-03,2012-11-03,,Pacific Time (US & Canada),9728,talkingforests,2012-11-04 03:00:46 UTC,The Evergreen State College,47.0806222222,-122.974725,,,,,chanterelles,Cantharellus,chanterelles,Fungi,47348
143498,2012-11-11,2012-11-11,,Pacific Time (US & Canada),9682,andy-bryophyta-durrant,2012-11-04 13:01:00 UTC,"The Evergreen State College, Olympia, Washington, US",47.075278,-122.966013,14,14,,,chanterelles,Cantharellus,chanterelles,Fungi,47348
147913,Mon Nov 12 2012 12:14:23 GMT-0800 (PST),2012-11-12,2012-11-12 20:14:23 UTC,Pacific Time (US & Canada),3678,noellemachnicki,2012-11-14 06:21:57 UTC,"Grays Harbor County, US-WA, US",47.050212,-124.169906,3328,3328,,,False Chanterelle,Hygrophoropsis aurantiaca,False Chanterelle,Fungi,63538
148507,"November 4, 2012 1:40:41 PM PST",2012-11-04,2012-11-04 21:40:41 UTC,Pacific Time (US & Canada),9840,abigailarnold,2012-11-15 15:56:46 UTC,"Thurston County, US-WA, US",47.07080234,-122.9843217,8,8,,gps,White Chanterelle,Cantharellus subalbidus,White Chanterelle,Fungi,54132
149027,Fri Nov 16 2012 12:30:55 GMT-0800 (PST),2012-11-16,2012-11-16 20:30:55 UTC,Pacific Time (US & Canada),4318,clareswensen,2012-11-17 01:09:15 UTC,"2743–2755 Evergreen Pkwy NW, Olympia, Washington, US",47.068807,-122.98187,30,30,,,White Chanterelle,Cantharellus subalbidus,White Chanterelle,Fungi,54132
153219,2012-11-12,2012-11-12,,Pacific Time (US & Canada),9856,littlelily,2012-11-26 23:28:51 UTC,Ocean City State Park,47.028482392,-124.1650772095,,,,,Cantharellus formosus,Cantharellus formosus,Pacific Golden Chanterelle,Fungi,120443
